# 游戏内文本译文（由 tools/i18n_batch.py 生成，请勿手工编辑）
#
# 覆盖对话、战斗消息、说明文字等；名称类官方译名见 zh_CN_names.txt。
# 同一原文在不同文件里含义不同时，用 @file 限定到具体文件。

"    VS " = "    VS"
" Berry" = "树果"
" MOVE" = " 招式"
" RPM" = " 转速"
" a boosted" = "大幅提升的"
" and " = "和"
" has no BERRIES to put in\nthe BERRY BLENDER." = "没有树果\n可以放进树果搅拌机。"
" is" = "是"
" is$" = "好$"
" so amusing!$" = "有趣！$"
" so darling!$" = "可爱！$"
" so desirable!$" = "迷人！$"
" so exciting!$" = "刺激！$"
" so magical!$" = "神奇！$"
" so pretty!$" = "漂亮！$"
" so relaxed!$" = "悠闲！$"
" so sunny!$" = "阳光！$"
" the " = "的"
" the shiny " = "的闪光"
" times with vines, etc." = "次造成伤害。"
" turns." = "回合。"
" was made!" = "制作完成！"
" were made!" = "制作完成了！"
"& Tera Orb.$" = "与太晶珠。$"
"'Cheaters never prosper ke ke ke -\n" = "作弊者绝没有好下场 嘻嘻嘻 -\n"
"'Dear {PLAYER}, please accept this\n" = "'亲爱的{PLAYER}，请收下\n"
"'Ello, 'ello, hola! Ciao and bonjour!$" = "你好，你好，hola！Ciao和bonjour！$"
"'For a cost, I can provide you a glim-'\p" = "'付出代价，我就能让你窥-'\p"
"'For a cost, I can provide you a glimpse\n" = "'付出代价，我就能让你\n"
"'include/config/battle.h'!$" = "'include/config/battle.h'！$"
"'include/config/overworld.h'!$" = "'include/config/overworld.h'！$"
"'s" = "的"
"'s {POKEBLOCK} CASE is full.\p" = "的{POKEBLOCK}盒满了。\p"
"'{STR_VAR_2}'$" = "’{STR_VAR_2}’$"
"(+Abilities)$" = "追踪信息。(+特性)$"
"(+Designed Sets)$" = "追踪信息。(+预设配置)$"
"(+Moves)$" = "追踪信息。(+招式)$"
"(AUTOMATION)" = "(自动化)"
"(After the Level Cap, will Level slowly)" = "(超过后升级会变慢)"
"(Best Score: {STR_VAR_2})$" = "(最高分：{STR_VAR_2})$"
"(Can be viewed in the Pokédex)" = "(可在宝可梦图鉴中查看)"
"(Classic {PKMN} Game style encounters)" = "(经典{PKMN}游戏的遭遇方式)"
"(DEBUG)" = "(调试)"
"(Except Poké Balls)$" = "(精灵球除外)$"
"(I shouldn't use this now)$" = "(我现在不该用它)$"
"(Must be lonely...)$" = "(一定很孤单…)$"
"(Must be lonely…)$" = "(一定很孤单…)$"
"(Mythicals and\l" = "(幻之宝可梦和\l"
"(Note the score will update when\n" = "(注意得分会在开始\n"
"(Pokémon can be\l" = "(宝可梦可连锁\l"
"(Poor {STR_VAR_1}...)\p" = "(可怜的{STR_VAR_1}…)\p"
"(Poor {STR_VAR_1}…)\p" = "(可怜的{STR_VAR_1}…)\p"
"(Remembered Adventures can be cleared\n" = "(记住的冒险可以在版本\n"
"(This can be changed in the Config Lab)$" = "(可在配置实验室中更改)$"
"(This setting is ignored for Rainbow\n" = "(彩虹模式中\n"
"(Unlocks Berry\l" = "(解锁树果\l"
"(WARNING UNFINISHED)$" = "(警告：未完成)$"
"(Whatever that means?)$" = "(这到底啥意思？)$"
"(You can't leave whilst there are still\n" = "(还有宝可梦在的时候\n"
"(the more the better)." = "(蓄力越多威力越大)。"
"(viewable in the\l" = "(可在图鉴\l"
"+ All Stats" = "全能力+"
"+ Critical Hit Chance" = "要害命中率+"
"++ All Stats" = "全能力++"
"+Attack, +Defense, -Speed.\n" = "攻击升，防御升，速度降。\n"
", and the feel is " = "，口感为"
"- The Day Care Staff'$" = "- 培育屋员工'$"
"-Run stats to come in a future update!$" = "-冒险统计将在未来更新中加入！$"
"-and disappear!$" = "-然后消失！$"
"...\p" = "…\p"
"/ Reloading during\l" = "正常保存与\l"
"0 EVs.\p" = "努力值始终为0。\p"
"1 player\nneeded." = "需要 1 名\n玩家。"
"1 turn, leaving at least 1HP." = "1回合内，至少留下1点HP。"
"1-HIT KO!" = "一击必杀！"
"10 {POKEBLOCK} can be offered in order to\n" = "献上10个{POKEBLOCK}\n"
"10,000,000-volt Thunderbolt, friendo!$" = "十万伏特一样闪亮，朋友！$"
"100 Pokémon in the\l" = "100只宝可梦的\l"
"100% of the {LV}s the\l" = "获得搭档{LV}的100%\l"
"100-straight Win" = "100连胜"
"10000000 Volt Thunderbolt" = "千万伏特"
"120 points." = "120点。"
"1Mサブきばんが ささっていません！" = "1M子基板未插入！"
"2 players\nneeded." = "需要 2 名\n玩家。"
"2 to 5 icicles in a row." = "2到5根冰柱攻击对手。"
"2 to 5 times in a row." = "连续2到5次。"
"2 to 5 times." = "2到5次。"
"2 turns to restore\n" = "以回复\n"
"2-PLAYER\nMODE" = "2 人\n模式"
"2-on-2!$" = "我们能赢你！$"
"20 points." = "20点。"
"20% chance to apply\l" = "有20%几率附加\l"
"2003 GLOBAL CUP" = "2003世界杯"
"2003 NATIONAL TOURNEY" = "2003全国大赛"
"2003 REGIONAL TOURNEY" = "2003地区大赛"
"2004 GLOBAL CUP" = "2004世界杯"
"2004 NATIONAL TOURNEY" = "2004全国大赛"
"2004 REGIONAL TOURNEY" = "2004地区大赛"
"2005 GLOBAL CUP" = "2005世界杯"
"2005 NATIONAL TOURNEY" = "2005全国大赛"
"2005 REGIONAL TOURNEY" = "2005地区大赛"
